ISSN -L	Wiki-ID	Label (titre)	ISSN ref titre	Code ISO de langue	ISSN ref langue	ISO pays	ISSN ref pays	URLs	ISSN ref URLs	ISSN1	keytitle1	format1	ISSN2	keytitle2	format2	ISSN3	keytitle3	format3	ISSN4	keytitle4	format4	cancelled ISSN
1221-0153	Q1033948	 Hargita népe	1221-0153	hun	1221-0153	ROU	1221-0153			1221-0153	 Hargita népe	ta										
0008-5847	Q1034631	 Capital	0008-5847	ger	0008-5847	DEU	0008-5847			0008-5847	 Capital (Hamburg)	he										
1310-7984	Q1034634	 Kapital	1310-7984	bul	1310-7984	BGR	1310-7984			1310-7984	 Kapital (Sofiâ)	ta										
0872-4687	Q10352002	 Portugal futurista	0872-4687	por	0872-4687	PRT	0872-4687			0872-4687	 Portugal futurista	ta										
1801-4542	Q10359869	 A2 kulturní týdeník	1801-4542	cze	1801-4542	CZE	1801-4542			1801-4542	 A2 kulturní týdeník	ta										
0102-6909	Q10360073	 Revista brasileira de ciências sociais	0102-6909	por	0102-6909	BRA	0102-6909	http://www.scielo.br/rbcsoc	1806-9053	0102-6909	 Revista brasileira de ciências sociais (Impresso)	ta	1806-9053	 Revista brasileira de ciências sociais (Online)	cr							
1415-4366	Q10360075	 Revista Brasileira de Engenharia Agrícola e Ambiental	1415-4366	mul	1415-4366	BRA	1415-4366	http://www.agriambi.com.br http://www.scielo.br/rbeaa	1807-1929	1415-4366	 Revista Brasileira de Engenharia Agrícola e Ambiental (Impresso)	ta	1807-1929	 Revista Brasileira de Engenharia Agrícola e Ambiental (Online)	cr							
0101-9880	Q10360076	 Revista Brasileira de Coloproctologia	0101-9880	mul	0101-9880	BRA	0101-9880	http://www.scielo.br/scielo.php/script_sci_serial/pid_0101-9880/lng_pt/nrm_iso	1980-5446	0101-9880	 Revista Brasileira de Coloproctologia (Impresso)	ta	1980-5446	 Revista Brasileira de Coloproctologia (Online)	cr							
1414-5685	Q10360078	 Revista Brasileira de Informática na Educação	1414-5685	por	1414-5685	BRA	1414-5685	http://www.br-ie.org/pub/index.php/rbie	2317-6121	1414-5685	 Revista Brasileira de Informática na Educação (Impresso)	ta	2317-6121	 Revista Brasileira de Informática na Educação (Online)	cr							
0034-7191	Q10360080	 Revista brasileira de estudos políticos	0034-7191	por	0034-7191	BRA	0034-7191	http://www.pos.direito.ufmg.br/rbep/index.php/rbep/index	2359-5736	0034-7191	 Revista brasileira de estudos políticos (Impresso)	ta	2359-5736	 Revista Brasileira de Estudos Políticos (Online)	cr							
